Team ID , Team  , Region , Country , Track , Kind , Size , Status , Year , Section
1352,Aberdeen_Scotland,Europe,United Kingdom,Health & Medicine,Collegiate,11,Accepted,2014,overgrad
2941,Aboa,Europe,Finland,Diagnostics,Collegiate,16,Accepted,2019,overgrad
3872,Aboa,Europe,Finland,Environment,Collegiate,10,Accepted,2021,overgrad
4207,Aboa,Europe,Finland,Food & Nutrition,Collegiate,15,Accepted,2022,overgrad
4831,ABOA-Turku,Europe,Finland,Bioremediation,Collegiate,24,Accepted,2023,overgrad
4068,ABSI_Kenya,Africa,Kenya,Environment,Community_lab,10,Accepted,2021,collegiate
2867,Acalanes_CA_Laf,North America,United States,High School,High_school,1,Withdrawn,2018,high_school
2421,ACIBADEM_Istanbul,Europe,Turkey,,Collegiate,1,Withdrawn,2017,Unspecified
2815,ACIBADEM_ISTANBUL,Asia,Turkey,Therapeutics,Collegiate,8,Accepted,2018,undergrad
3272,ACIBADEM_ISTANBUL,Asia,Turkey,High School,High_school,18,Accepted,2019,high_school
4089,ACIBADEM_ISTANBUL,Europe,Turkey,High School,High_school,11,Accepted,2021,high_school
1261,Acton-BoxboroughRHS,North America,United States,Food & Energy(P),High_school,18,Accepted,2014,iGEM
2217,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,23,Accepted,2017,undergrad
2534,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,30,Accepted,2018,overgrad
3244,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,29,Accepted,2019,undergrad
3504,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,29,Accepted,2020,undergrad
3743,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,26,Accepted,2021,undergrad
4140,AFCM-Egypt,Africa,Egypt,Diagnostics,Collegiate,27,Accepted,2022,undergrad
4586,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,25,Accepted,2023,undergrad
4778,AFMU-China,Asia,China,Diagnostics,Collegiate,26,Accepted,2023,undergrad
470,Africa,Africa,,,Collegiate,5,Accepted,2006,iGEM
1571,agroecology,North America,United States,,Collegiate,0,Pending,2014,Unspecified
4396,AHS_Peking,Asia,China,High School,High_school,5,Withdrawn,2022,high_school
3656,AHUT-ZJU-China,Asia,China,Environment,Collegiate,31,Accepted,2020,undergrad
1196,AHUT_China,Asia,China,Environment,Collegiate,17,Accepted,2013,overgrad
1341,AHUT_China,Asia,China,Information Processing,Collegiate,24,Accepted,2014,undergrad
1751,AHUT_China,Asia,China,Food & Nutrition,Collegiate,37,Accepted,2015,undergrad
2044,AHUT_China,Asia,China,Information Processing,Collegiate,32,Accepted,2016,overgrad
2459,AHUT_China,Asia,United States,Information Processing,Collegiate,32,Accepted,2017,undergrad
2547,AHUT_China,Asia,China,Environment,Collegiate,39,Accepted,2018,undergrad
2949,AHUT_China,Asia,China,Environment,Collegiate,36,Accepted,2019,undergrad
3981,AHUT_China,Asia,China,Therapeutics,Collegiate,33,Accepted,2021,undergrad
1917,Ain_Shams-Egypt,Africa,Egypt,Therapeutics,Collegiate,21,Accepted,2016,undergrad
4808,AIS-China,Asia,China,High School,Commercial,27,Accepted,2023,high_school
4012,AISSU_Union,Asia,China,High School,Commercial,14,Accepted,2021,high_school
1098,AITM-Nepal,Asia,Nepal,Health & Medicine,Collegiate,33,Accepted,2013,overgrad
1349,Aix-Marseille,Europe,France,Foundational Advance,Collegiate,11,Accepted,2014,overgrad
1601,Aix-Marseille,Europe,France,Environment,Collegiate,24,Accepted,2015,overgrad
1951,Aix-Marseille,Europe,France,Environment,Collegiate,19,Accepted,2016,overgrad
2255,Aix-Marseille,Europe,France,Environment,Collegiate,29,Accepted,2017,overgrad
2718,Aix-Marseille,Europe,France,Therapeutics,Collegiate,30,Accepted,2018,overgrad
2915,Aix-Marseille,Europe,France,Diagnostics,Collegiate,20,Accepted,2019,overgrad
3465,Aix-Marseille,Europe,France,Environment,Collegiate,29,Accepted,2020,undergrad
3788,Aix-Marseille,Europe,France,Environment,Collegiate,32,Accepted,2021,overgrad
4189,Aix-Marseille,Europe,France,Environment,Collegiate,23,Accepted,2022,overgrad
4582,Aix-Marseille,Europe,France,Climate Crisis,Collegiate,16,Accepted,2023,overgrad
3085,Alabama,North America,United States,Therapeutics,Collegiate,7,Accepted,2019,undergrad
25,Alberta,North America,Canada,Energy,Collegiate,13,Accepted,2007,iGEM
187,Alberta,North America,Canada,Foundational Advance,Collegiate,30,Accepted,2009,iGEM
349,Alberta,North America,Canada,Foundational Advance,Collegiate,27,Accepted,2010,iGEM
612,Alberta,North America,Canada,Food & Energy,Collegiate,10,Accepted,2011,iGEM
879,Alberta,North America,Canada,Foundational Advance,Collegiate,11,Accepted,2012,iGEM
1161,Alberta,North America,Canada,Information Processing,Collegiate,10,Accepted,2013,undergrad
871,Alberta-North-RBI,North America,Canada,,Collegiate,1,Withdrawn,2012,iGEM
960,Alberta-North-RBI_E,North America,Canada,,Collegiate,13,Accepted,2012,iGEM
102,Alberta_NINT,North America,Canada,,Collegiate,12,Accepted,2008,iGEM
2905,Alma,North America,United States,Therapeutics,Collegiate,14,Accepted,2019,undergrad
3445,Alma,North America,United States,Environment,Collegiate,23,Accepted,2020,undergrad
3737,Alma,North America,United States,Environment,Collegiate,33,Accepted,2021,overgrad
4166,Alma,North America,United States,Environment,Collegiate,27,Accepted,2022,undergrad
4732,Alma,North America,United States,Bioremediation,Collegiate,22,Accepted,2023,undergrad
2145,Alverno_CA,North America,United States,High School,High_school,17,Accepted,2016,high_school
3320,Amazonas-Brazil,Latin America,Brazil,Therapeutics,Collegiate,23,Accepted,2019,undergrad
2457,Amazonas_Brazil,Latin America,Brazil,Foundational Advance,Collegiate,27,Accepted,2017,undergrad
1719,Amoy,Asia,China,Foundational Advance,Collegiate,19,Accepted,2015,undergrad
949,Amplino,Europe,Netherlands,,Collegiate,4,Accepted,2012,iGEM
1281,AMSA_WeColi,North America,United States,,High_school,14,Accepted,2014,iGEM
178,Amsterdam,Europe,Netherlands,,Collegiate,10,Withdrawn,2009,iGEM
538,Amsterdam,Europe,Netherlands,Foundational Advance,Collegiate,12,Accepted,2011,iGEM
874,Amsterdam,Europe,Netherlands,Foundational Advance,Collegiate,11,Accepted,2012,iGEM
1844,Amsterdam,Europe,Netherlands,Energy,Collegiate,7,Accepted,2015,overgrad
2385,Amsterdam,Europe,Netherlands,Manufacturing,Collegiate,13,Accepted,2017,overgrad
3437,Amsterdam,Europe,Netherlands,Information Processing,Collegiate,12,Accepted,2020,overgrad
1200,AMU-Poznan,Europe,Poland,Software Tools,Collegiate,7,Accepted,2013,overgrad
1436,AMU-Poznan,Europe,Poland,Software,Collegiate,7,Accepted,2014,overgrad
996,AnatoliaGreece,Europe,Greece,Health & Medicine(P),High_school,10,Accepted,2013,iGEM
4503,Anatolia_College_HS,Europe,Greece,High School,High_school,16,Accepted,2022,high_school
1302,Anatolia_Greece,Europe,Greece,Environment(P),High_school,17,Accepted,2014,iGEM
796,Anderson-AustinTX,North America,Unspecified,,High_school,0,Pending,2012,iGEM
768,Anderson-Austin_TX,North America,United States,,High_school,0,Pending,2012,iGEM
4780,ANU-Australia,Asia,Australia,Bioremediation,Collegiate,10,Accepted,2023,undergrad
1750,ANU-Canberra,Asia,Australia,Foundational Advance,Collegiate,12,Accepted,2015,undergrad
2270,AQA_Unesp,Latin America,Brazil,Therapeutics,Collegiate,18,Accepted,2017,undergrad
438,Arizona,North America,,,Collegiate,12,Accepted,2006,iGEM
578,Arizona_State,North America,United States,New Application,Collegiate,11,Accepted,2011,iGEM
891,Arizona_State,North America,United States,Health & Medicine,Collegiate,15,Accepted,2012,iGEM
1190,Arizona_State,North America,United States,Health & Medicine,Collegiate,11,Accepted,2013,undergrad
1502,Arizona_State,North America,United States,Energy,Collegiate,11,Accepted,2014,undergrad
2033,Arizona_State,North America,United States,Foundational Advance,Collegiate,14,Accepted,2016,overgrad
2357,Arizona_State,North America,United States,Foundational Advance,Collegiate,10,Accepted,2017,overgrad
939,Arizona_State_E,North America,United States,,Collegiate,10,Accepted,2012,iGEM
1543,ArtCenter_MDP,North America,United States,Art & Design,Collegiate,1,Accepted,2014,Unspecified
221,ArtScienceBangalore,Asia,India,New Application,Collegiate,12,Accepted,2009,iGEM
420,ArtScienceBangalore,Asia,India,New Application,Collegiate,14,Accepted,2010,iGEM
645,ArtScienceBangalore,Asia,India,Environment,Collegiate,14,Accepted,2011,iGEM
2252,AshesiGhana,Africa,Ghana,Environment,Collegiate,11,Accepted,2017,overgrad
3368,AshesiGhana,Africa,Ghana,Environment,Collegiate,14,Accepted,2020,undergrad
4186,AshesiGhana,Africa,Ghana,Manufacturing,Collegiate,12,Accepted,2022,undergrad
4746,AshesiGhana,Africa,Ghana,Biomanufacturing,Collegiate,13,Accepted,2023,overgrad
4738,ASIJ-Tokyo,Asia,Japan,High School,High_school,26,Accepted,2023,high_school
1885,ASIJ_Tokyo,Asia,Japan,High School,High_school,19,Accepted,2016,high_school
2226,ASIJ_TOKYO,Asia,Japan,High School,High_school,22,Accepted,2017,high_school
2562,ASIJ_Tokyo,Asia,Japan,High School,High_school,24,Accepted,2018,high_school
2928,ASIJ_Tokyo,Asia,Japan,High School,High_school,27,Accepted,2019,high_school
3813,ASIJ_Tokyo,Asia,Japan,High School,High_school,23,Accepted,2021,high_school
4334,ASIJ_Tokyo,Asia,Japan,High School,High_school,18,Accepted,2022,high_school
2509,ASTWS-China,Asia,China,High School,High_school,20,Accepted,2017,high_school
2826,ASTWS-China,Asia,China,High School,High_school,20,Accepted,2018,high_school
3152,ASTWS-China,Asia,China,High School,High_school,23,Accepted,2019,high_school
3576,ASTWS-China,Asia,China,High School,High_school,14,Accepted,2020,high_school
3906,ASTWS-China,Asia,China,High School,Commercial,14,Accepted,2021,high_school
4006,ASU,North America,United States,Environment,Collegiate,10,Accepted,2021,undergrad
4455,ASU,North America,United States,Environment,Collegiate,16,Accepted,2022,undergrad
4895,ASU,North America,United States,Bioremediation,Collegiate,11,Accepted,2023,undergrad
2709,Athens,Europe,Greece,Diagnostics,Collegiate,12,Accepted,2018,undergrad
3201,Athens,Europe,Greece,New Application,Collegiate,20,Accepted,2019,undergrad
3520,Athens,Europe,Greece,Manufacturing,Collegiate,17,Accepted,2020,undergrad
4034,Athens,Europe,Greece,New Application,Collegiate,16,Accepted,2021,overgrad
4294,Athens,Europe,Greece,Foundational Advance,Collegiate,12,Accepted,2022,overgrad
4810,Athens,Europe,Greece,Diagnostics,Collegiate,14,Accepted,2023,overgrad
1202,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,23,Accepted,2013,undergrad
1456,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,26,Accepted,2014,undergrad
1639,ATOMS-Turkiye,Europe,Turkey,Health & Medicine,Collegiate,31,Accepted,2015,undergrad
2058,ATOMS_Turkiye,Europe,Turkey,,Collegiate,31,Withdrawn,2016,undergrad
2975,Auburn_Alabama,North America,United States,High School,High_school,12,Accepted,2019,high_school
3626,AUC-EGYPT,Africa,Egypt,Therapeutics,Collegiate,17,Accepted,2020,undergrad
2642,Auckland_MOD,Asia,New Zealand,Environment,Collegiate,10,Accepted,2018,undergrad
1530,Auckland_New_Zealand,Asia,New Zealand,Health & Medicine,Collegiate,10,Accepted,2014,overgrad
727,AUC_Turkey,Europe,Turkey,,High_school,15,Accepted,2012,iGEM
993,AUC_TURKEY,Europe,Turkey,New Application(P),High_school,11,Accepted,2013,undergrad
1291,AUC_TURKEY,Europe,Turkey,Foundational Advance(P),High_school,23,Accepted,2014,iGEM
1806,AUC_TURKEY,Europe,Turkey,High School,High_school,12,Accepted,2015,high_school
2059,AUC_TURKEY,Europe,Turkey,High School,High_school,12,Withdrawn,2016,high_school
4579,Austin-UTexas,North America,United States,Agriculture,Collegiate,21,Accepted,2023,undergrad
2877,Austin_LASA,North America,United States,High School,High_school,11,Accepted,2018,high_school
734,Austin_Texas,North America,United States,Food & Energy,Collegiate,10,Accepted,2012,iGEM
1416,Austin_Texas,North America,United States,Measurement,Collegiate,8,Accepted,2014,overgrad
1627,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,16,Accepted,2015,undergrad
2097,Austin_UTexas,North America,United States,New Application,Collegiate,22,Accepted,2016,undergrad
2253,Austin_UTexas,North America,United States,Therapeutics,Collegiate,15,Accepted,2017,undergrad
2657,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,24,Accepted,2018,undergrad
3174,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,16,Accepted,2019,undergrad
3569,Austin_UTexas,North America,United States,Diagnostics,Collegiate,16,Accepted,2020,undergrad
3879,Austin_UTexas,North America,United States,Environment,Collegiate,18,Accepted,2021,undergrad
4342,Austin_UTexas,North America,United States,Foundational Advance,Collegiate,15,Accepted,2022,undergrad
2098,Austin_UTexas_LASA,North America,United States,High School,High_school,13,Withdrawn,2016,high_school
2458,Austin_UTexas_LASA,North America,United States,High School,High_school,20,Accepted,2017,high_school
1677,BABS_UNSW_Australia,Asia,Australia,New Application,Collegiate,8,Accepted,2015,undergrad
4714,BAID-China,Asia,China,High School,High_school,16,Accepted,2023,high_school
665,Baltimore,North America,United States,New Application,Collegiate,11,Accepted,2011,iGEM
2436,Baltimore_Bio-Crew,North America,United States,High School,High_school,15,Accepted,2017,high_school
2187,Baltimore_BioCrew,North America,United States,High School,High_school,9,Accepted,2016,high_school
2893,Baltimore_BioCrew,North America,United States,High School,High_school,21,Accepted,2018,high_school
3301,Baltimore_BioCrew,North America,United States,High School,High_school,15,Accepted,2019,high_school
3651,Baltimore_BioCrew,North America,United States,High School,High_school,22,Accepted,2020,high_school
3851,Baltimore_BioCrew,North America,United States,High School,High_school,20,Accepted,2021,high_school
375,Baltimore_US,North America,United States,Manufacturing,Collegiate,15,Accepted,2010,iGEM
26,Bangalore,Asia,India,Foundational Research,Collegiate,12,Accepted,2007,iGEM
452,Bangalore,Asia,,,Collegiate,9,Accepted,2006,iGEM
4962,Bangkok-NMH,Asia,Thailand,Software & AI,Collegiate,17,Accepted,2023,overgrad
4770,Barcelona-UB,Europe,Spain,Bioremediation,Collegiate,17,Accepted,2023,undergrad
4501,Barcelona_UB,Europe,Spain,Manufacturing,Collegiate,20,Accepted,2022,undergrad
595,Bard-Annandale,North America,United States,Information Processing,Collegiate,4,Accepted,2011,iGEM
4880,BASIS-China,Asia,China,High School,High_school,26,Accepted,2023,high_school
830,Baskent-Meds,Europe,Turkey,,Collegiate,11,Withdrawn,2012,iGEM
1512,Baskent-Meds,Europe,Turkey,,Collegiate,0,Pending,2014,Unspecified
1109,Baskent_Meds,Europe,Turkey,Health & Medicine,Collegiate,11,Accepted,2013,overgrad
923,BAU-Indonesia,Asia,Indonesia,Environment,Collegiate,12,Accepted,2012,iGEM
2864,Bay_Area_CA,North America,Unspecified,High School,High_school,1,Withdrawn,2018,high_school
2894,Bay_Area_Genomics_CA,North America,United States,,Community_lab,1,Withdrawn,2018,collegiate
56,Bay_Area_RSI,North America,Usa,Medical,Collegiate,11,Accepted,2007,iGEM
80,Bay_Area_RSI,North America,United States,,Collegiate,5,Accepted,2008,iGEM
184,Bay_Area_RSI,North America,United States,Health/Medicine,Collegiate,8,Withdrawn,2009,iGEM
135,BCCS-Bristol,Europe,United Kingdom,,Collegiate,24,Accepted,2008,iGEM
259,BCCS-Bristol,Europe,United Kingdom,Foundational Advance,Collegiate,16,Accepted,2009,iGEM
381,BCCS-Bristol,Europe,United Kingdom,Food & Energy,Collegiate,14,Accepted,2010,iGEM
589,BCCS-Bristol,Europe,United Kingdom,Software Tools,Collegiate,7,Withdrawn,2011,iGEM
2567,BCU,Asia,China,Environment,Collegiate,18,Accepted,2018,undergrad
3143,BEAS_China,Asia,China,High School,High_school,20,Accepted,2019,high_school
2264,Beidaqingniao,Asia,Unspecified,,Collegiate,1,Withdrawn,2017,Unspecified
3598,Beijing_4ELEVEN,Asia,China,High School,High_school,16,Accepted,2020,high_school
984,Beijing_BHSF,Asia,China,New Application(P),High_school,16,Accepted,2013,undergrad
1802,Beijing_HDFL,Asia,China,High School,High_school,17,Withdrawn,2015,high_school
994,Beijing_HDFLS_High,Asia,China,Environment(P),High_school,20,Accepted,2013,iGEM
1283,Beijing_HDFLS_High,Asia,China,Health & Medicine(P),High_school,20,Accepted,2014,iGEM
752,Beijing_KH,Asia,China,,High_school,0,Pending,2012,iGEM
78,Beijing_Normal,Asia,China,,Collegiate,7,Accepted,2008,iGEM
751,Beijing_SL,Asia,China,,High_school,0,Pending,2012,iGEM
3996,Beijing_United,Asia,China,High School,Commercial,15,Accepted,2021,high_school
4290,Beijing_United,Asia,China,High School,Commercial,26,Disqualified,2022,high_school
426,Berkeley,North America,United States,New Application,Collegiate,11,Accepted,2010,iGEM
435,Berkeley,North America,,,Collegiate,13,Accepted,2006,iGEM
475,Berkeley,North America,,,Collegiate,4,Accepted,2005,iGEM
641,Berkeley,North America,United States,New Application,Collegiate,10,Accepted,2011,iGEM
900,Berkeley,North America,United States,Information Processing,Collegiate,10,Accepted,2012,iGEM
1131,Berkeley,North America,United States,Manufacturing,Collegiate,9,Accepted,2013,undergrad
49,Berkeley_LBL,North America,Usa,Energy,Collegiate,8,Accepted,2007,iGEM
198,Berkeley_Software,North America,United States,Software Tools,Collegiate,9,Accepted,2009,iGEM
16,Berkeley_UC,North America,United States,Medical,Collegiate,14,Accepted,2007,iGEM
197,Berkeley_Wetlab,North America,United States,Foundational Advance,Collegiate,13,Accepted,2009,iGEM
1438,Berlin,Europe,Germany,New Application,Collegiate,16,Accepted,2014,overgrad
1617,Berlin,Europe,Germany,Environment,Collegiate,13,Accepted,2015,overgrad
2482,Berlin_diagnostX,Europe,Germany,Diagnostics,Collegiate,37,Accepted,2017,overgrad
4400,BFSU-ICUnited,Asia,China,High School,Commercial,11,Accepted,2022,high_school
5004,BFSU-ICUnited,Asia,China,High School,Commercial,21,Accepted,2023,high_school
2555,BFSUICC-China,Asia,China,High School,High_school,10,Accepted,2018,high_school
4799,BGI-MammothEdu-China,Asia,China,High School,Commercial,27,Accepted,2023,high_school
2728,BGIC-Global,Asia,China,High School,High_school,17,Accepted,2018,high_school
2371,BGIC-Union,Asia,China,High School,High_school,14,Accepted,2017,high_school
2026,BGIC_China,Asia,China,High School,High_school,24,Accepted,2016,high_school
3394,BGU-Israel,Asia,Israel,Environment,Collegiate,11,Accepted,2020,overgrad
1223,BGU_Israel,Europe,Israel,Environment,Collegiate,17,Accepted,2013,overgrad
1458,BGU_Israel,Europe,Israel,Health & Medicine,Collegiate,11,Accepted,2014,overgrad
1699,BGU_Israel,Asia,Israel,Health & Medicine,Collegiate,10,Accepted,2015,overgrad
2091,BGU_ISRAEL,Europe,Israel,Environment,Collegiate,15,Accepted,2016,overgrad
2538,BGU_Israel,Europe,Israel,Therapeutics,Collegiate,14,Accepted,2018,overgrad
2938,BGU_Israel,Asia,Israel,New Application,Collegiate,13,Accepted,2019,overgrad
4120,BGU_Israel,Asia,Israel,Diagnostics,Collegiate,12,Accepted,2022,overgrad
3399,BHSF,Asia,China,High School,High_school,11,Accepted,2020,high_school
4033,BHSF,Asia,China,High School,Commercial,11,Accepted,2021,high_school
1264,BHSF-Beijing,Asia,China,Environment(P),High_school,17,Accepted,2014,iGEM
1726,BHSF_Beijing,Asia,China,High School,High_school,9,Withdrawn,2015,high_school
3202,BHSF_ND,Asia,China,High School,High_school,15,Accepted,2019,high_school
1971,BHU_China,Asia,China,High School,High_school,14,Accepted,2016,high_school
4717,BIBS-beijing-china,Asia,China,High School,High_school,8,Accepted,2023,high_school
1465,Bielefeld-CeBiTec,Europe,Germany,Energy,Collegiate,15,Accepted,2014,overgrad
1758,Bielefeld-CeBiTec,Europe,Germany,Environment,Collegiate,15,Accepted,2015,overgrad
2082,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate,15,Accepted,2016,overgrad
2201,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate,19,Accepted,2017,overgrad
2638,Bielefeld-CeBiTec,Europe,Germany,Environment,Collegiate,17,Accepted,2018,overgrad
2926,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate,15,Accepted,2019,overgrad
3410,Bielefeld-CeBiTec,Europe,Germany,Diagnostics,Collegiate,19,Accepted,2020,overgrad
3900,Bielefeld-CeBiTec,Europe,Germany,New Application,Collegiate,17,Accepted,2021,overgrad
4877,Bielefeld-CeBiTec,Europe,Germany,Therapeutics,Collegiate,15,Accepted,2023,overgrad
389,Bielefeld-Germany,Europe,Germany,Food & Energy,Collegiate,14,Accepted,2010,iGEM
525,Bielefeld-Germany,Europe,Germany,Manufacturing,Collegiate,18,Accepted,2011,iGEM
863,Bielefeld-Germany,Europe,Germany,Environment,Collegiate,19,Accepted,2012,iGEM
1172,Bielefeld-Germany,Europe,Germany,Food & Energy,Collegiate,15,Accepted,2013,overgrad
1946,Bilkent-UNAMBG,Europe,Turkey,Diagnostics,Collegiate,8,Accepted,2016,undergrad
2234,Bilkent-UNAMBG,Europe,Turkey,Diagnostics,Collegiate,12,Accepted,2017,undergrad
2759,Bilkent-UNAMBG,Europe,Turkey,Environment,Collegiate,15,Accepted,2018,undergrad
3003,Bilkent-UNAMBG,Europe,Turkey,Therapeutics,Collegiate,14,Accepted,2019,undergrad
4969,BilkenTR-UNAM,Europe,Turkey,Therapeutics,Collegiate,11,Withdrawn,2023,undergrad
4021,Bilkent_UNAM,Europe,Turkey,Therapeutics(P),Collegiate,10,Withdrawn,2021,undergrad
4476,Bilkent_UNAM,Europe,Turkey,Therapeutics,Collegiate,10,Withdrawn,2022,undergrad
596,Bilkent_UNAM_Turkey,Europe,Turkey,Environment,Collegiate,8,Accepted,2011,iGEM
4403,Bio-Brussels,Europe,Belgium,Manufacturing,Collegiate,9,Accepted,2022,undergrad
2133,BioBricks,North America,United States,Foundational Advance,Collegiate,7,Accepted,2016,overgrad
2879,BioIQS-Barcelona,Europe,Spain,Diagnostics,Collegiate,15,Accepted,2018,overgrad
2885,BioMarvel,Asia,"Korea, Republic Of",High School,High_school,17,Accepted,2018,high_school
4413,Bioplus-China,Asia,China,High School,Commercial,15,Accepted,2022,high_school
4804,Bioplus-China,Asia,China,High School,Commercial,23,Accepted,2023,high_school
4824,Bioplus-Shanghai,Asia,China,High School,Commercial,19,Accepted,2023,high_school
3000,Bioriidl_Somaiya,Asia,India,Foundational Advance,Community_lab,10,Accepted,2019,collegiate
793,BioscienceDragons_AZ,North America,United States,,High_school,14,Accepted,2012,iGEM
978,BioscienceDragons_AZ,North America,United States,Food & Energy(P),High_school,26,Accepted,2013,undergrad
1263,BioScience_Dragons_AZ,North America,United States,,High_school,6,Accepted,2014,iGEM
956,BIOSINT_Mexico,Latin America,Mexico,,Collegiate,19,Accepted,2012,iGEM
1130,BIOSINT_Mexico,Latin America,Mexico,Health & Medicine,Collegiate,11,Accepted,2013,overgrad
1471,BIOSINT_Mexico,Latin America,Mexico,Environment,Collegiate,18,Accepted,2014,undergrad
1684,BIOSINT_Mexico,Latin America,Mexico,Art & Design,Collegiate,16,Accepted,2015,undergrad
2004,BIOSINT_Mexico,Latin America,Mexico,Manufacturing,Collegiate,10,Accepted,2016,undergrad
1265,Biotech_HS,North America,United States,,High_school,19,Accepted,2014,iGEM
260,BIOTEC_Dresden,Europe,Germany,Manufacturing,Collegiate,14,Accepted,2009,iGEM
407,BIOTEC_Dresden,Europe,Germany,Health & Medicine,Collegiate,15,Accepted,2010,iGEM
745,BioToga_NY,North America,United States,,High_school,6,Accepted,2012,iGEM
2860,Bio_Without_Borders,North America,United States,Diagnostics,Community_lab,13,Accepted,2018,collegiate
3277,Bio_Without_Borders,North America,United States,High School,High_school,40,Accepted,2019,high_school
1846,Birkbeck,Europe,United Kingdom,Health & Medicine,Collegiate,10,Accepted,2015,overgrad
1058,BIT,Asia,China,Food & Energy,Collegiate,28,Accepted,2013,undergrad
1407,BIT,Asia,China,Measurement,Collegiate,32,Accepted,2014,undergrad
1651,BIT,Asia,China,Health & Medicine,Collegiate,22,Accepted,2015,undergrad
2041,BIT,Asia,China,Diagnostics,Collegiate,24,Accepted,2016,undergrad
2305,BIT,Asia,China,Diagnostics,Collegiate,35,Accepted,2017,undergrad
2708,BIT,Asia,China,Diagnostics,Collegiate,32,Accepted,2018,undergrad
3020,BIT,Asia,China,Environment,Collegiate,34,Accepted,2019,undergrad
3471,BIT,Asia,China,Diagnostics,Collegiate,32,Accepted,2020,undergrad
3821,BIT,Asia,China,Diagnostics,Collegiate,37,Accepted,2021,undergrad
4128,BIT,Asia,China,Diagnostics,Collegiate,48,Accepted,2022,undergrad
4691,BIT,Asia,China,Environment,Collegiate,41,Accepted,2023,overgrad
1117,BIT-China,Asia,China,New Application,Collegiate,20,Accepted,2013,undergrad
1325,BIT-China,Asia,China,New Application,Collegiate,27,Accepted,2014,overgrad
1675,BIT-China,Asia,China,New Application,Collegiate,26,Accepted,2015,undergrad
2120,BIT-China,Asia,China,New Application,Collegiate,26,Accepted,2016,undergrad
2368,BIT-China,Asia,China,Food & Nutrition,Collegiate,26,Accepted,2017,undergrad
2765,BIT-China,Asia,China,New Application,Collegiate,28,Accepted,2018,undergrad
2972,BIT-China,Asia,China,New Application,Collegiate,25,Accepted,2019,undergrad
3496,BIT-China,Asia,China,Manufacturing,Collegiate,18,Accepted,2020,undergrad
3852,BIT-China,Asia,China,Food & Nutrition,Collegiate,19,Accepted,2021,undergrad
4232,BIT-China,Asia,China,Manufacturing,Collegiate,27,Accepted,2022,undergrad
4616,BIT-China,Asia,China,Biomanufacturing,Collegiate,31,Accepted,2023,undergrad
